,Outside,Agriculture,Forest,Industry,Nature,Recreation,Urban-formal,Urban-informal,Urban-villages,Transportation,Airport and Harbour,Water,q,max_d
28,0.0,0.36995760734605304,-1.0362121726544447,0.02530586526477026,-0.3788237182249648,-0.36051351073141397,-0.010550182333308195,-0.1402614338028531,0.17143390094300825,0.045322978786657475,-1.0132282657337552,-0.6819366650372385,4.0,2.0
29,0.0,0.33061666729443834,-1.275724130399211,0.16790781000148003,-0.7544873321858502,1.072801149409849,-0.7033348097384688,-1.207608310501746,0.04099769242349056,-0.28399665636520083,0.0,-0.2967086218813386,5.0,2.0
30,0.0,0.17318626841227402,-1.3872161432802645,0.5490032620257879,0.029789470831855614,0.153814864344529,0.23121464796260105,0.16996817399689249,0.07918124604762482,0.4129642719966628,0.27461961909123805,-0.8761483590329142,6.0,2.0
31,0.0,0.1332194567324943,-1.207608310501746,0.785543369956593,0.021602716028242194,-0.06854212931099495,0.20057692675484817,0.5852350633657754,-0.7166987712964504,0.3639878297484914,0.369030221809153,-0.8538719643217619,7.0,2.0
32,0.0,0.13798673272353165,-0.5816987086802545,0.6917002082901615,-0.2218487496163564,-0.5917600346881504,0.49373680227683986,-0.4621809049267259,0.6210723711436259,0.23628527744802852,0.0,-0.7594507517174003,8.0,2.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0
34,0.0,-0.4736607226101559,-0.5767541260631921,0.0,-0.4522252946121775,-0.1890957193312996,0.7452309845281407,0.8254261177678232,0.0,0.2610248339923974,1.8949360406368403,-0.2062096153091813,10.0,2.0
35,0.0,-0.22621355501880647,-1.5686362358410126,1.4155075355927835,-0.48678239993206096,-0.6216020990518624,0.35410843914740087,0.20709554041921804,-0.18641901143180803,-0.12378215940835775,0.146128035678238,-0.8961962790440431,11.0,2.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
37,0.0,-0.18508681872492605,-0.9208187539523752,-0.08565684288055925,0.4256972133625911,0.3900514964589873,-0.1857524042680798,-0.47108329972234525,0.21085336531489318,-0.032452023781137915,-0.7423214251308154,-0.7670038896078462,1.0,3.0
38,0.0,-0.3205721033878811,-0.03715731879875755,-0.1778319206319825,0.47842218774008055,-0.07779372256098363,-0.562249437179612,-0.530177984021837,-0.29929628285498067,-0.384049948343599,-2.3979400086720375,-1.136677139879544,2.0,3.0
39,0.0,0.15866398081398933,-1.0705810742857071,0.4514794051248618,-0.015022873584506671,-0.20342566678957033,0.44012160318780386,0.41664050733828095,0.031004281363536827,0.3205616801952366,0.18383903705642116,-0.8664610916297825,3.0,3.0
40,0.0,0.35102285258412386,-0.8794260687941501,0.01911629044707278,-0.28819277095880896,-0.36051351073141397,-0.02502800570193105,-0.14206473528057098,0.23223352111473364,0.060320028688285184,-0.9507819773298184,-0.6675615400843947,4.0,3.0
41,0.0,0.28824922557198607,-0.9546770212133425,0.0766404436703419,-0.6478174818886375,1.1307839145889562,-0.623423042943488,-0.8569851997459049,0.048053173115609055,-0.34198860334288755,0.0,-0.19654288435158612,5.0,3.0
42,0.0,0.15866398081398933,-1.193820026016113,0.51241754860084,0.026124516745450282,0.15228834438305647,0.3014640731432998,0.2284003587030047,0.064083435963596,0.3900514964589873,0.24179543129519873,-0.8041003475907662,6.0,3.0
43,0.0,0.110252917353403,-1.0222763947111522,0.7460890430562003,0.01157044359727816,-0.07831352451639793,0.32014628611105395,0.5727554651542196,-0.7304870557820837,0.3590762260592629,0.3471347829100199,-0.7544873321858502,7.0,3.0
44,0.0,0.17609125905568124,-0.5883802940367698,0.6732974397596357,-0.1390633792999063,-0.33629907461035186,0.40807028588718547,-0.5867002359187482,0.33984878303763705,0.2027606873931999,-0.6478174818886375,-0.7569619513137056,8.0,3.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0
46,0.0,-0.4400933749638875,-0.3334820194451191,0.0,-0.6216020990518624,-0.23507701535011155,0.7117228918272347,0.9619902874400649,0.0,0.11527759139590141,1.9042718299244665,-0.1804560644581313,10.0,3.0
47,0.0,-0.15614457737683893,-1.3872161432802645,1.3283592135478022,-0.35556141053216145,0.0,0.4068806700491247,0.30405946621759916,-0.056011124926228104,-0.10292299679057967,0.32242605240595257,-0.7351821769904635,11.0,3.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
49,0.0,-0.11975822410451964,-0.7144426909922262,-0.08512818245994963,0.3975924340381167,0.32592595577146616,-0.21681130892474243,-0.3925449767853314,0.18582535961296218,-0.026410376572743116,-0.906578314837765,-0.6925039620867871,1.0,4.0
50,0.0,-0.2684112348132613,0.028571252692537637,-0.08092190762392612,0.45163294745699084,-0.09528445472131904,-0.5346171485515817,-0.47108329972234525,-0.20134935455473107,-0.3205721033878811,-1.853871964321762,-1.0457574905606752,2.0,4.0
51,0.0,0.14921911265537988,-0.9355420107730815,0.44544851426604987,-0.005243055412371883,-0.15304467498017607,0.4261858252445114,0.42242567637120454,0.06445798922691845,0.3240765797394864,0.18383903705642116,-0.8124792791635369,3.0,4.0
52,0.0,0.33385014510254507,-0.7471469690201068,0.01953168453125545,-0.21896306137886817,-0.34198860334288755,-0.0381045263321496,-0.13430394008392949,0.2535802895621828,0.07335170238690095,-0.9746941347352298,-0.6575773191777937,4.0,4.0
53,0.0,0.23653726148869397,-0.769551078621726,-0.027334407733889104,-0.543633966870957,1.153845340080965,-0.5466816599529624,-0.9355420107730815,0.022840610876527823,-0.19314197048118256,0.0,-0.09528445472131904,5.0,4.0
